ranking,name,highSchool,position,height,weight,stars,rating,college
88,Aaron Maddox,"Pima C.C. (North Augusta,  SC)",S,1-Jun,192,3,0.8535,Colorado
89,Luke Sowa,"Butler County (KS) (El Dorado,  KS)",FB,3-Jun,245,3,0.8528,Kansas State
90,Rahsaan York,"American River C.C. (Sacramento,  CA)",OLB,Jun-00,210,3,0.852,Kansas State
91,Nick Dawson,"Northeastern Oklahoma A&M (McDonough,  GA)",OLB,2-Jun,215,3,0.8517,Southern Miss
92,Kenny Turnier,"Ventura College (Miami,  FL)",SDE,4-Jun,265,3,0.8517,UCF
93,Sione Vea Kava,"East Los Angeles College (Monterey Park,  CA)",DT,6-Jun,270,3,0.8514,Oregon
94,Jeremiah Jordan,"Mt. San Jacinto College (Stone Mountain,  GA)",WDE,6-Jun,250,3,0.8506,Utah
95,Stephon Robinson,"El Camino College (Torrance,  CA)",WR,10-May,165,3,0.8502,Kansas
96,Tra Minter,"Garden City C.C.  (Ellaville,  GA)",RB,5-8.5,190,3,0.85,uncommitted
97,Ramero Rock,"Georgia Military College (Milledgeville,  GA)",WDE,1-Jun,235,3,0.85,Charleston Southern
98,Tevita Musika,"College of San Mateo (Milpitas,  CA)",DT,1-Jun,300,3,0.85,Alabama
99,Je'Vari Anderson,"Laney College (Concord,  CA)",S,Jun-00,220,3,0.8499,UCLA
100,Malik Dixon,"Eastern Arizona College (Thatcher,  AZ)",S,3-Jun,215,3,0.8499,Rutgers
101,Charles Cameron,"Copiah-Lincoln C.C. (Morton,  MS)",DT,2-Jun,290,3,0.8496,Florida Atlantic
102,Randon Haynes,"Tyler J.C.  (Waxahachie,  TX)",OT,4-Jun,330,3,0.8495,uncommitted
103,Chauncey Manac,"Garden City C.C.  (Homerville,  GA)",OLB,3-Jun,243,3,0.8489,Louisiana
104,Colt Doughty,"College of San Mateo (San Mateo,  CA)",ILB,2-Jun,235,3,0.8481,California
105,Elijah Jones,"Ellsworth C.C. (Iowa Falls,  IA)",CB,2-Jun,180,3,0.8481,Kansas
106,Lakiem Williams,"Butte College (Spanaway,  WA)",OLB,2-Jun,240,3,0.8479,Syracuse
107,Val Martin,"Iowa Western C.C. (Marietta,  GA)",DT,2-Jun,305,3,0.8475,N.C. State
108,Mike Williams,"East Mississippi C.C. (Lake City,  FL)",WR,10-May,182,3,0.8474,Nebraska
109,Tariqious Tisdale,"Northwest Mississippi C.C. (Lexington,  TN)",SDE,5-Jun,280,3,0.8467,Ole Miss
110,Rakeem Boyd,"Independence C.C. (Houston,  TX)",RB,11-May,200,3,0.8467,Arkansas
111,Ahmad McCullough,"Hutchinson C.C. (Baltimore,  MD)",OLB,3-Jun,210,3,0.8467,Maryland
112,Jonathan Lolohea,"Copiah-Lincoln C.C. (Lahaina,  HI)",DT,3-Jun,310,3,0.8461,Washington State
113,Harry Ballard,"Jones County J.C. (Florissant,  MO)",WR,2-Jun,180,3,0.8444,Missouri
114,Terin Adams,"City College of San Francisco (Kirkland,  WA)",CB,Jun-00,190,3,0.844,Arizona State
115,Amadou Fofana,"Highland C.C. (Memphis,  TN)",SDE,5-Jun,270,3,0.8439,Oklahoma State
116,Keith Brigham,"Pima C.C. (Normal,  IL)",SDE,3-Jun,270,3,0.8428,Memphis
117,Antonio Nelson,"Coahoma C.C. (Montgomery,  AL)",CB,2-Jun,175,3,0.8428,uncommitted
118,Evander Craft,"College of DuPage (Glen Ellyn,  IL)",OLB,3-Jun,215,3,0.8425,Toledo
119,Quen Head,"Hutchinson C.C. (Forsyth,  GA)",OLB,2-Jun,215,3,0.8424,Louisville
120,Kishawn Miller,"Georgia Military College (Milledgeville,  GA)",CB,10-May,170,3,0.8415,N.C. State
121,Steven Bailey,"Glendale C.C. (Peoria,  AZ)",OG,3-Jun,290,3,0.8411,Arizona
122,Charlie Benton,"Butler C.C. (Opelika,  AL)",S,4-Jun,215,3,0.8407,West Virginia
123,Darreyl Patterson,"Northeastern Oklahoma A&M (Lawton,  OK)",CB,1-Jun,185,3,0.8405,Kansas State
124,Ricky Town,"Ventura College (Ventura,  CA)",PRO,3-Jun,209,3,0.8401,Pittsburgh
125,Deon White,"College of San Mateo (San Mateo,  CA)",S,3-Jun,210,3,0.84,California
126,Lamar Dawson,"Mt. San Antonio College (Walnut,  CA)",CB,Jun-00,204,3,0.84,Utah State
127,Dominic Stampley,"Coffeyville C.C. (Coffeyville,  KS)",WR,10-May,180,3,0.84,Illinois
128,Jack Colletto,"Arizona Western College (Camas,  WA)",DUAL,3-Jun,220,3,0.84,Oregon State
129,Tyree Thompson,"Los Angeles Valley College (Mission Hills,  CA)",ILB,3-Jun,235,3,0.8399,UCLA
130,Jeromy Reichner,"Los Angeles Valley College (Van Nuys,  CA)",DT,2-Jun,285,3,0.8399,Oregon State
131,Jake Ross,"Northeastern Oklahoma A&M (Miami,  OK)",TE,7-Jun,243,3,0.8398,Oklahoma State
132,Kendrick Catis,"Highland C.C. (Highland,  KS)",ILB,1-Jun,228,3,0.8394,Washington State
133,Malik Besseck,"ASA College (New York) (Brooklyn,  NY)",OT,5-Jun,280,3,0.8382,uncommitted
134,Sheriron Jones,"Mt. San Jacinto College (Moreno Valley,  CA)",DUAL,2-Jun,208,3,0.8367,New Mexico
135,Joe Brown,"Eastern Arizona College (Paramount,  CA)",OG,4-Jun,320,3,0.8367,West Virginia
136,Kevin Scott,"Arizona Western College (Los Angeles,  CA)",DT,5-Jun,315,3,0.8367,Nevada
137,Brandon Aiyuk,"Sierra College (Rocklin,  CA)",WR,1-Jun,195,3,0.8366,Arizona State
138,Mustafa Johnson,"Modesto J.C. (Modesto,  CA)",DT,2-Jun,285,3,0.8365,Colorado
139,D'Antne Demery,"Hutchinson C.C. (Brunswick,  GA)",OT,6-5.5,319,3,0.8356,FIU
140,Domonique Williams,"Highland C.C. (Knoxville,  TN)",CB,10-May,190,3,0.8349,Kentucky
141,Keenan Forbes,"Coffeyville C.C. (Hollywood,  FL)",OG,4-Jun,335,3,0.8345,Washington State
142,Isaiah Floyd,"City College of San Francisco (Pleasanton,  CA)",RB,7-May,185,3,0.834,Arizona State
143,Mike Brown,"Eastern Arizona College (Paramount,  CA)",OG,4-Jun,310,3,0.8336,West Virginia
144,Jerrion Nelson,"Iowa Western C.C. (Columbia,  MO)",DT,2-Jun,265,3,0.8333,uncommitted
145,David Viena-Falo,"Riverside C.C. (San Diego,  CA)",DT,2-Jun,290,3,0.8333,uncommitted
146,JoJo Henderson,"Snow College (Salt Lake City,  UT)",S,1-Jun,190,3,0.8333,uncommitted
147,Kendric Mallory,"Ventura College (Dayton,  OH)",WR,2-Jun,205,3,0.8333,uncommitted
148,Brandon Artis,"Blinn College (Port Arthur,  TX)",DT,5-Jun,300,3,0.8333,uncommitted
149,Jimmie Stoudemire,"Riverside C.C. (Prattville,  AL)",WR,4-Jun,200,3,0.8333,Arkansas
150,Kevon Abrams,"Butler C.C. (Pensacola,  FL)",RB,11-May,185,3,0.8333,uncommitted
151,Henry Yoboue,"ASA College (New York) (Brooklyn,  NY)",OT,8-Jun,310,3,0.8333,Youngstown State
152,Mar'Quess Daniels,"Arizona Western College (Yuma,  AZ)",WDE,3-Jun,245,3,0.8328,uncommitted
153,Emanuel Bridges,"East Mississippi C.C. (Newnan,  GA)",OLB,2-Jun,215,3,0.8328,uncommitted
154,Steven Mason,"Southwestern College (Encinitas,  CA)",SDE,8-Jun,250,3,0.8326,UCLA
155,Roy Yancey,"Arizona Western College (Opelika,  AL)",OLB,2-Jun,215,3,0.8317,South Alabama
156,John Hightower,"Hinds C.C. (Raymond,  MS)",WR,3-Jun,175,3,0.8317,Boise State
157,Johnathon Edwards,"Northeast Mississippi C.C. (Philadelphia,  MS)",S,3-Jun,185,3,0.8317,Austin Peay
158,Korey Mariboho,"Saddleback College (Mission Viejo,  CA)",OT,4-Jun,285,3,0.83,San Jose State
159,Terry Williams,"Itawamba C.C. (Fulton,  MS)",WR,8-May,175,3,0.83,uncommitted
160,Jaylon Henderson,"Trinity Valley C.C. (Humble,  TX)",DUAL,1-Jun,210,3,0.83,Boise State
161,Blaze Alldredge,"Moorpark College (Kissimmee,  FL)",ILB,2-Jun,210,3,0.83,Rice
162,David Swaby,"Navarro College (Los Angeles,  CA)",OT,9-Jun,315,3,0.83,Oklahoma
163,Zach Burks,"Coffeyville C.C. (Olathe,  KS)",DT,3-Jun,280,3,0.8299,Ohio
164,Nickolos Madourie,"Dakota College at Bottineau (Fort Lauderdale,  FL)",SDE,6-Jun,230,3,0.8291,Temple
165,Elmore Hempstead,"Fort Scott C.C. (Smackover,  AR)",CB,Jun-00,190,3,0.8286,Kansas
166,Tyquilo Moore,"Butler County (KS) (El Dorado,  KS)",DT,4-Jun,295,3,0.8278,Kansas State
167,Tyrell Thompson,"Trinity Valley C.C. (Athens,  TX)",DT,3-Jun,300,3,0.8267,uncommitted
168,Myron Mitchell,"Butler C.C. (Jasper,  AL)",WR,Jun-00,170,3,0.8267,UAB
169,Neil McLaurin,"Southwest Mississippi C.C. (Summit,  MS)",DUAL,3-Jun,200,3,0.8267,Southern Miss
170,Connor Taylor,"Snow College (Kaysville,  UT)",ILB,1-Jun,228,3,0.8267,Louisiana Tech
171,B.J. Emmons,"Hutchinson C.C. (Morganton,  NC)",RB,Jun-00,230,3,0.8267,Florida Atlantic
172,Markevion Quinn,"Pearl River C.C. (Ruleville,  MS)",DUAL,3-Jun,195,3,0.8267,Memphis
173,Brett Bell,"Hutchinson C.C. (Wichita,  KS)",TE,6-Jun,247,3,0.8256,UCF
174,D.J. Williams,"Independence C.C. (Smyrna,  TN)",CB,9-May,185,3,0.8256,Utah State
175,Emari Demercado,"Saddleback College (Mission Viejo,  CA)",RB,11-May,200,3,0.8256,TCU
176,Trey Baldwin,"Trinity Valley C.C. (Houston,  TX)",OLB,2-Jun,235,3,0.8245,Louisiana Tech
177,Damion Dickens,"Copiah-Lincoln C.C. (Lexington,  MS)",WDE,2-Jun,250,3,0.8244,Colorado State
178,Nick Walker,"Cisco College (Saint Louis,  MO)",CB,10-May,185,3,0.8244,Illinois
179,Kevion McGee,"Northeastern Oklahoma A&M (Miami,  OK)",S,10-May,185,3,0.8244,Kansas State
180,Jeremiah McCullough,"Hartnell College (Salinas,  CA)",S,Jun-00,200,3,0.8244,Kansas
181,Jack Abraham,"Northwest Mississippi C.C. (Oxford,  MS)",PRO,Jun-00,198,3,0.8237,Southern Miss
182,Foster Dixson,"West Los Angeles College (Los Angeles,  CA)",SDE,5-Jun,250,3,0.8236,Kansas
183,Max Gilliam,"Saddleback College (Thousand Oaks,  CA)",PRO,2-Jun,200,3,0.8231,UNLV
184,Jermaine Ledbetter,"Coffeyville C.C. (Coffeyville,  KS)",OG,5-Jun,325,3,0.8228,Nevada
185,PJ Johnson,"City College of San Francisco (Sacramento,  CA)",DT,5-Jun,315,3,0.8217,Arizona
186,Lorenzo Dantzler,"East Mississippi C.C. (Starkville,  MS)",WDE,2-Jun,233,3,0.8217,UTSA
187,Cody Fletcher,"Tyler J.C.  (Henrietta,  TX)",ILB,1-Jun,220,3,0.8217,Kansas State
188,Kary Kutsch,"Butte College (Oroville,  CA)",OT,5-Jun,300,3,0.8217,Colorado
189,Melvin Johnson,"Riverside C.C. (North Las Vegas,  NV)",DT,5-Jun,285,3,0.821,Toledo
190,Calvin Jackson,"Independence C.C. (Pompano Beach,  FL)",WR,9-May,160,3,0.8208,Washington State
191,Ben Sutton,"Blinn College (League City,  TX)",CB,10-May,170,3,0.8206,Tulsa
192,Darwin Thompson,"Northeastern Oklahoma A&M (Jenks,  OK)",APB,9-May,195,3,0.8206,Utah State
193,Desean Holmes,"College of the Canyons (Pasadena,  CA)",WR,10-May,175,3,0.82,Florida Atlantic
194,Malik Williams,"Northland College (Thief River Falls,  MN)",WR,8-May,165,3,0.82,uncommitted
195,Troy Burnett,"Kilgore J.C. (Missouri City,  TX)",ILB,11-May,215,3,0.82,uncommitted
196,Duane Tuitasi,"Golden West College (Huntington Beach,  CA)",DT,1-Jun,295,3,0.82,San Jose State
197,Justus Tavai,"El Camino College (Torrance,  CA)",SDE,3-Jun,290,3,0.82,Hawaii
198,Manase Time,"Golden West College (Huntington Beach,  CA)",S,Jun-00,205,3,0.82,Hawaii
199,Dallas Martin,"Santa Barbara City College (Santa Barbara,  CA)",OLB,2-Jun,220,3,0.82,Marshall
200,Jerry Jacobs,"Hutchinson C.C. (Hutchinson,  KS)",CB,11-May,195,3,0.82,Arkansas State
201,Kenneth George Jr.,"Trinity Valley C.C. (Athens,  TX)",CB,Jun-00,197,3,0.82,Tennessee
202,Davon Ferguson,"Hartnell College (Laurel,  MD)",S,11-May,190,3,0.8191,Kansas
203,Trevor Denbow,"Navarro College (Corsicana,  TX)",OLB,1-Jun,220,3,0.8178,SMU
204,Brennen Wooten,"Tyler J.C.  (San Angelo,  TX)",PRO,2-Jun,195,3,0.8171,Louisiana-Monroe
205,Brandon Johnson,"Tyler J.C.  (Dallas,  TX)",S,Jun-00,185,3,0.8167,Tulsa
206,TJ King,"Navarro College (Irving,  TX)",WDE,3-Jun,245,3,0.8167,UTSA
207,Christopher DeLoach,"East Central C.C. (Columbus,  MS)",TE,5-Jun,250,3,0.8167,UCF
208,Bo Alexander,"Arizona Western College (Winter Springs,  FL)",OT,4-Jun,300,3,0.8167,Houston
209,Keith Brown,"Northwest Mississippi C.C. (Senatobia,  MS)",ILB,2-Jun,230,3,0.8167,Memphis
210,Josh McMullen,"East Central C.C. (Decatur,  MS)",OT,5-Jun,270,3,0.8158,UCF
211,Edward Hayes,"Kilgore J.C. (Coldspring,  TX)",S,2-Jun,205,3,0.8156,uncommitted
212,Ricky Thomas,"Blinn College (Geismar,  LA)",CB,10-May,185,3,0.8156,Kansas
213,Montre Bonner,"Fullerton College (Fullerton,  CA)",SDE,3-Jun,260,3,0.8156,Memphis
214,Von'Darius Freeman,"Southwest Mississippi C.C. (Ville Platte,  LA)",DT,3-Jun,320,3,0.8145,Southern Miss
215,Lamontre Huval,"Northeastern Oklahoma A&M (Breaux Bridge,  LA)",OLB,2-Jun,196,3,0.8128,uncommitted
216,Ty Williams,"East Mississippi C.C. (Charleston,  MS)",CB,11-May,170,3,0.8117,Southern Miss
217,Robert Hayes Jr.,"Coffeyville C.C. (Slidell,  LA)",CB,2-Jun,190,3,0.8117,SMU
218,TieNeal Martin,"Yuba College (Marysville,  CA)",OLB,1-Jun,203,3,0.8117,Tulsa
219,Tristan Nichols,"Arizona Western College (Yuma,  AZ)",DT,4-Jun,295,3,0.8117,Nevada
220,Tavon Cox,"Iowa Western C.C. (Haines City,  FL)",OLB,3-Jun,220,3,0.8111,uncommitted
221,Adebayo Soremekun,"Long Beach City College (Long Beach,  CA)",WDE,3-Jun,280,3,0.8111,New Mexico
222,Fokam Parfait,"ASA College (New York) (Montclair,  NJ)",S,Jun-00,200,3,0.8111,uncommitted
223,Denzel Washington,"Tyler J.C.  (Monroe,  LA)",S,1-Jun,206,3,0.8111,Southern Miss
224,Joe Smith,"Iowa Western C.C. (Council Bluffs,  IA)",S,2-Jun,205,3,0.8111,uncommitted
225,C.J. Sims,"Butler C.C. (El Dorado,  KS)",WR,8-May,165,3,0.8111,uncommitted
226,Alejandro Solis,"ASA College (Miami) (North Miami Beach,  FL)",OG,1-Jun,295,3,0.8111,uncommitted
227,Alex Tchangam,"De Anza College (Cupertino,  CA)",WDE,3-Jun,250,3,0.8111,Colorado
228,Devon Davis,"Lackawanna C.C. (Cincinnati,  OH)",OC,3-Jun,330,3,0.8111,Pittsburgh
229,Gleson Sprewell,"Mesa C.C. (Peoria,  AZ)",S,Jun-00,182,3,0.8106,Houston
230,Jeffmario Brown,"Hutchinson C.C. (Hutchinson,  KS)",SDE,3-Jun,235,3,0.8106,Arkansas State
231,Aaron Dowdell,"Georgia Military College (Atlanta,  GA)",OG,6-4.5,310,3,0.81,Georgia Southern
232,Matt McClellan,"Kilgore J.C. (Saint Charles,  MO)",WDE,4-Jun,215,3,0.81,uncommitted
233,Nick Abbs,"Fresno City College (Fresno,  CA)",OT,5-Jun,280,3,0.81,Fresno State
234,Kohl Levao,"City College of San Francisco (San Francisco,  CA)",OG,5-Jun,320,3,0.81,Hawaii
235,Jacob Copeland,"Navarro College (Southlake,  TX)",ILB,1-Jun,230,3,0.81,Baylor
236,Jamal Bell,"Tyler J.C.  (Brownsboro,  TX)",WR,Jun-00,170,3,0.81,Louisiana
237,Malik Welch,"Long Beach City College (Torrance,  CA)",S,Jun-00,181,3,0.81,Tulsa
238,Mekhi Blackmon,"College of San Mateo (San Mateo,  CA)",CB,Jun-00,175,3,0.81,Colorado
239,Landon Rice,"Mississippi Gulf Coast C.C. (Calhoun,  GA)",TE,5-Jun,253,3,0.81,Jacksonville State
240,Rayshawn Wilborn,"Garden City C.C.  (Lansing,  MI)",OLB,4-Jun,225,3,0.8095,Ball State
241,Charles Cole,"Butler C.C. (El Dorado,  KS)",DT,3-Jun,280,3,0.8094,Kansas
242,Trent Schneider,"Santa Barbara City College (Santa Barbara,  CA)",P,Jun-00,190,3,0.8094,USF
243,Dan Ellington,"Itawamba C.C. (Fulton,  MS)",DUAL,2-Jun,192,3,0.8083,Georgia State
244,Trevor Elbert,"Ventura College (Rockwall,  TX)",OT,5-Jun,320,3,0.8075,UCF
245,Jobdariel Gomez,"ASA College (Miami) (Miami,  FL)",OT,4-Jun,270,3,0.8067,Temple
246,Warren Saba,"Garden City C.C.  (Cleveland,  OH)",CB,10-May,190,3,0.8067,East Carolina
247,Tairek Johnson,"Northwest Mississippi C.C. (Corinth,  MS)",OT,5-Jun,300,3,0.8067,Southern Miss
248,Manuel Orona,"Glendale C.C. (Glendale,  AZ)",OT,3-Jun,285,3,0.8067,Memphis
249,Jajuan Blankenship,"Independence C.C. (Anderson,  SC)",DT,2-Jun,275,3,0.8067,Tulsa
250,Reuben Lewis,"Coffeyville C.C. (Apopka,  FL)",OG,4-Jun,330,3,0.8067,Kansas
